ID,sp_id,Order,Family,Genus,Species,AcceptedFamily_COL,AcceptedGenus_COL,AcceptedName_COL,Species_ph_Fritz,Species_ph_Upham,Notes,tax_id,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantOther,Vend_Vect_Fish_Unk,Vend_Vect_Fish_Unk_Ins_Scav,Fruit_Nect_Seed_Plant,Locomotion,BM_g,Diet_class,Diet_cat
456,M_383,Primates,Cercopithecidae,Papio,Papio papio,Cercopithecidae,Papio,Papio papio,Papio_papio,Papio_papio,ET,16018,10,0,0,0,20,0,20,0,10,40,20,30,70,Terrestrial,18026.05,Omnivore,OmnHerbFrugSeed
457,M_384,Primates,Cercopithecidae,Papio,Papio ursinus,Cercopithecidae,Papio,Papio ursinus,Papio_ursinus,Papio_ursinus,ET,16022,20,0,0,0,10,0,40,0,20,10,10,30,70,Terrestrial,17729.44,Omnivore,OmnHerbFrugSeed
466,M_391,Primates,Lorisidae,Perodicticus,Perodicticus potto,Lorisidae,Perodicticus,Perodicticus potto,Perodicticus_potto,Perodicticus_potto,ET,91995408,10,0,0,0,0,0,80,10,0,0,0,10,90,Arboreal,1099.993,Herbivore,OmnHerbFrugSeed
487,M_411,Primates,Cheirogaleidae,Phaner,Phaner pallescens,Cheirogaleidae,Phaner,Phaner pallescens,Phaner_pallescens,Phaner_pallescens,ET,16874,0,0,0,0,0,0,0,100,0,0,0,0,100,Arboreal,425,Herbivore,Nectarivore
493,M_417,Primates,Cercopithecidae,Pliocolobus,Piliocolobus badius,Cercopithecidae,Piliocolobus,Piliocolobus badius,Piliocolobus_badius,Procolobus_badius,ET,18240,0,0,0,0,0,0,20,0,0,80,0,0,100,Arboreal,8430.4,Herbivore,Herbivore
494,M_418,Primates,Cercopithecidae,Pliocolobus,Piliocolobus foai,Cercopithecidae,Piliocolobus,Piliocolobus foai,Piliocolobus_foai,NA,ET,NA,0,0,0,0,0,0,20,0,0,80,0,0,100,Arboreal,8591.695,Omnivore,Herbivore
495,M_419,Primates,Cercopithecidae,Pliocolobus,Piliocolobus gordonorum,Cercopithecidae,Piliocolobus,Piliocolobus gordonorum,Piliocolobus_gordonorum,Procolobus_gordonorum,ET,40015,0,0,0,0,0,0,20,0,0,80,0,0,100,Arboreal,8591.695,Herbivore,Herbivore
496,M_420,Primates,Cercopithecidae,Pliocolobus,Piliocolobus kirkii,Cercopithecidae,Piliocolobus,Piliocolobus kirkii,Piliocolobus_kirkii,Procolobus_kirkii,ET,39992,0,0,0,0,0,0,20,0,0,80,0,0,100,Arboreal,7158.29,Herbivore,Herbivore
497,M_421,Primates,Cercopithecidae,Pliocolobus,Piliocolobus preussi,Cercopithecidae,Piliocolobus,Piliocolobus preussi,Piliocolobus_preussi,Procolobus_preussi,ET,41026,0,0,0,0,0,0,20,0,0,80,0,0,100,Arboreal,8865.71,Herbivore,Herbivore
498,M_422,Primates,Cercopithecidae,Pliocolobus,Piliocolobus rufomitratus,Cercopithecidae,Piliocolobus,Piliocolobus rufomitratus,Piliocolobus_rufomitratus,Procolobus_rufomitratus,ET,39993,0,0,0,0,0,0,20,0,10,70,0,0,100,Arboreal,8030.75,Herbivore,OmnHerbFrugSeed
499,M_423,Primates,Cercopithecidae,Pliocolobus,Piliocolobus tephrosceles,Cercopithecidae,Piliocolobus,Piliocolobus tephrosceles,Piliocolobus_tephrosceles,NA,ET,NA,0,0,0,0,0,0,20,0,0,80,0,0,100,Arboreal,8591.695,Omnivore,Herbivore
500,M_661,Primates,Pitheciidae,Pithecia,Pithecia aequatorialis,Pitheciidae,Pithecia,Pithecia aequatorialis,Pithecia_aequatorialis,Pithecia_aequatorialis,ET,17402,0,30,0,0,0,0,30,10,0,30,30,30,70,Arboreal,2249.986954,Omnivore,OmnHerbFrugSeed
501,M_424,Primates,Pitheciidae,Pithecia,Pithecia albicans,Pitheciidae,Pithecia,Pithecia albicans,Pithecia_albicans,Pithecia_albicans,ET,41567,0,30,0,0,0,0,30,10,0,30,30,30,70,Arboreal,2800.013,Omnivore,OmnHerbFrugSeed
502,M_425,Primates,Pitheciidae,Pithecia,Pithecia irrorata,Pitheciidae,Pithecia,Pithecia irrorata,Pithecia_irrorata,Pithecia_irrorata,ET,41568,0,30,0,0,0,0,30,10,0,30,30,30,70,Arboreal,2240.99,Omnivore,OmnHerbFrugSeed
503,M_426,Primates,Pitheciidae,Pithecia,Pithecia monachus,Pitheciidae,Pithecia,Pithecia monachus,Pithecia_monachus,Pithecia_monachus,ET,39985,0,30,0,0,0,0,30,10,0,30,30,30,70,Arboreal,1537.517,Omnivore,OmnHerbFrugSeed
504,M_427,Primates,Pitheciidae,Pithecia,Pithecia pithecia,Pitheciidae,Pithecia,Pithecia pithecia,Pithecia_pithecia,Pithecia_pithecia,ET,43942,0,30,0,0,0,0,30,10,0,30,30,30,70,Arboreal,1375.498,Omnivore,OmnHerbFrugSeed
505,M_428,Primates,Hominidae,Pongo,Pongo abelii,Hominidae,Pongo,Pongo abelii,Pongo_abelii,Pongo_abelii,ET,121097935,10,0,0,0,10,0,80,0,0,0,10,20,80,Arboreal,39696.12,Herbivore,OmnHerbFrugSeed
506,M_429,Primates,Hominidae,Pongo,Pongo pygmaeus,Hominidae,Pongo,Pongo pygmaeus,Pongo_pygmaeus,Pongo_pygmaeus,ET,17975,10,0,0,0,10,0,80,0,0,0,10,20,80,Arboreal,37000,Herbivore,OmnHerbFrugSeed
